2015-11-12 23:25:03,765 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:25:03,766 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 23:25:03,768 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:25:03,769 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sony\Documents\spidio docs\Spidio_DataLogix\Spidio_DataLogix\src\test\resources
2015-11-12 23:25:03,890 [Worker-48] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spidio.datalogix:datalogix:1.0 @ C:\Users\sony\classifier\Spidio_DataLogix1\pom.xml.
2015-11-12 23:25:05,026 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:25:05,028 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-11-12 23:25:05,029 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 23:25:05,030 [Worker-48] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\sony\classifier\Spidio_DataLogix1\src\test\resources
2015-11-12 23:25:06,340 [Worker-44] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spidio.datalogix:datalogix:1.0 @ C:\Users\sony\classifier\Spidio_DataLogix1\pom.xml.
2015-11-12 23:25:07,750 [Worker-48] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
